Date,Price,Open,High,Low,Change(%)
"Mar 24, 2022",33.520,33.630,33.720,33.510,-0.27%
"Mar 23, 2022",33.610,33.510,33.700,33.445,0.39%
"Mar 22, 2022",33.480,33.540,33.710,33.450,-0.18%
"Mar 21, 2022",33.540,33.280,33.570,33.270,0.75%
"Mar 18, 2022",33.290,33.210,33.400,33.195,0.27%
"Mar 17, 2022",33.200,33.400,33.400,33.180,-0.42%
"Mar 16, 2022",33.340,33.540,33.560,33.250,-0.51%
"Mar 15, 2022",33.510,33.450,33.570,33.420,0.18%
"Mar 14, 2022",33.450,33.300,33.470,33.270,0.45%
"Mar 11, 2022",33.300,33.140,33.360,33.115,0.54%
"Mar 10, 2022",33.120,33.040,33.170,32.970,0.30%
"Mar 09, 2022",33.020,33.220,33.235,32.975,-0.48%
"Mar 08, 2022",33.180,33.000,33.230,32.990,0.55%
"Mar 07, 2022",33.000,32.690,33.080,32.660,0.95%
"Mar 04, 2022",32.690,32.590,32.750,32.550,0.34%
"Mar 03, 2022",32.580,32.530,32.650,32.400,0.22%
"Mar 02, 2022",32.510,32.710,32.765,32.420,-0.55%
"Mar 01, 2022",32.690,32.665,32.760,32.510,0.06%
"Feb 28, 2022",32.670,32.710,32.780,32.590,0.68%
"Feb 25, 2022",32.450,32.625,32.660,32.415,-0.55%
"Feb 24, 2022",32.630,32.270,32.890,32.240,1.15%
